open_time,close_time,symbol,side,qty,entry_price,exit_price,pnl,strategy,tag,rrr,starting_cash
2025-10-09 15:17:00+00:00,2025-10-09 15:21:00+00:00,VIX100,short,0.05367734547634171,1117.678221,1120.642053,-0.16510594326126404,multi,,0.0,15.0
2025-10-09 15:21:00+00:00,2025-10-09 15:29:00+00:00,VIX100,long,0.05353538057883323,1120.642053,1117.428246,-0.1780345754938378,multi,,0.0,15.0
2025-10-09 15:29:00+00:00,2025-10-09 15:36:00+00:00,VIX100,short,0.05337145762938269,1117.428246,1121.7921680000002,-0.23889604643728174,multi,,0.0,15.0
2025-10-09 15:36:00+00:00,2025-10-09 15:42:00+00:00,VIX100,long,0.05284340807705567,1121.7921680000002,1121.597829,-0.01619644025991232,multi,,0.0,15.0
2025-10-09 15:42:00+00:00,2025-10-09 15:57:00+00:00,VIX100,short,0.034932174261910656,1121.597829,1115.291518,0.21639719903584512,multi,,0.0,15.0
2025-10-09 15:57:00+00:00,2025-10-09 16:10:00+00:00,VIX100,long,0.03511216280704007,1115.291518,1121.607828,0.21784109739349417,multi,,0.0,15.0
2025-10-09 16:10:00+00:00,2025-10-09 16:29:00+00:00,VIX100,short,0.035164508131610414,1121.607828,1114.91148,0.23155325231764257,multi,,0.0,15.0
2025-10-09 16:29:00+00:00,2025-10-09 16:35:00+00:00,VIX100,long,0.035641272221204064,1114.91148,1112.08878,-0.10456824499300327,multi,,0.0,15.0
2025-10-09 16:35:00+00:00,2025-10-09 16:36:00+00:00,VIX100,short,0.05399730835725176,1112.08878,1112.851274,-0.04718172097835144,multi,,0.0,15.0
2025-10-09 16:36:00+00:00,2025-10-09 17:29:00+00:00,VIX100,long,0.03584812114740506,1112.851274,1101.719817,-0.40299127763016784,multi,,0.0,15.0
2025-10-09 17:29:00+00:00,2025-10-09 17:50:00+00:00,VIX100,short,0.03614093160953589,1101.719817,1098.429832,0.11493329513777627,multi,,0.0,15.0
2025-10-09 17:50:00+00:00,2025-10-09 18:13:00+00:00,VIX100,long,0.035756712696660704,1098.429832,1101.419847,0.10297479201094296,multi,,0.0,15.0
2025-10-09 18:13:00+00:00,2025-10-09 18:33:00+00:00,VIX100,short,0.03578910651072392,1101.419847,1094.30942,0.2505593936009148,multi,,0.0,15.0
2025-10-09 18:33:00+00:00,2025-10-09 19:00:00+00:00,VIX100,long,0.03615109199571708,1094.30942,1096.870302,0.08861337485267846,multi,,0.0,15.0
2025-10-09 19:00:00+00:00,2025-10-09 19:11:00+00:00,VIX100,short,0.036361310016431794,1096.870302,1091.7991690000001,0.18042311434158567,multi,,0.0,15.0
2025-10-09 19:11:00+00:00,2025-10-09 19:55:00+00:00,VIX100,long,0.03664100710161369,1091.7991690000001,1088.19117,-0.13618795902040576,multi,,0.0,15.0
2025-10-09 19:55:00+00:00,2025-10-09 20:10:00+00:00,VIX100,short,0.03697065147270961,1088.19117,1081.648154,0.2379006404246021,multi,,0.0,15.0
2025-10-09 20:10:00+00:00,2025-10-09 20:37:00+00:00,VIX100,long,0.03702948878097593,1081.648154,1076.9822909999998,-0.1767625319782665,multi,,0.0,15.0
2025-10-09 20:37:00+00:00,2025-10-09 21:09:00+00:00,VIX100,short,0.037470546800657825,1076.9822909999998,1072.127202,0.1779055203459756,multi,,0.0,15.0
2025-10-09 21:09:00+00:00,2025-10-09 21:46:00+00:00,VIX100,long,0.03742422809268757,1072.127202,1069.233066,-0.11231232800987706,multi,,0.0,15.0
2025-10-09 21:46:00+00:00,2025-10-09 22:04:00+00:00,VIX100,short,0.03773357926144645,1069.233066,1064.886478,0.15999412498265062,multi,,0.0,15.0
2025-10-09 22:04:00+00:00,2025-10-09 22:14:00+00:00,VIX100,long,0.03775047234247018,1064.886478,1070.532936,0.2091151441627086,multi,,0.0,15.0
2025-10-09 22:14:00+00:00,2025-10-09 23:04:00+00:00,VIX100,short,0.037736652491630586,1070.532936,1083.148304,-0.4801491973845311,multi,,0.0,15.0
2025-10-09 23:04:00+00:00,2025-10-09 23:12:00+00:00,VIX100,long,0.05633057780686284,1083.148304,1088.371152,0.28807518805136345,multi,,0.0,15.0
2025-10-09 23:12:00+00:00,2025-10-09 23:38:00+00:00,VIX100,short,0.036775578875390645,1088.371152,1087.458735,0.02955547090247498,multi,,0.0,15.0
2025-10-09 23:38:00+00:00,2025-10-10 00:01:00+00:00,VIX100,long,0.0371602465252396,1087.458735,1089.441045,0.06961473850875988,multi,,0.0,15.0
2025-10-10 00:01:00+00:00,2025-10-10 00:17:00+00:00,VIX100,short,0.03711610968927656,1089.441045,1085.168506,0.15455230284570948,multi,,0.0,15.0
2025-10-10 00:17:00+00:00,2025-10-10 00:31:00+00:00,VIX100,long,0.03734931000592487,1085.168506,1094.0405850000002,0.327279862871241,multi,,0.0,15.0
2025-10-10 00:31:00+00:00,2025-10-10 01:17:00+00:00,VIX100,short,0.03721959575471914,1094.0405850000002,1096.729662,-0.10416834236048932,multi,,0.0,15.0
2025-10-10 01:17:00+00:00,2025-10-10 02:21:00+00:00,VIX100,long,0.037519767792072826,1096.729662,1094.510538,-0.08736759530498818,multi,,0.0,15.0
2025-10-10 02:21:00+00:00,2025-10-10 02:35:00+00:00,VIX100,short,0.03745987412897221,1094.510538,1088.7488640000001,0.21175314327181635,multi,,0.0,15.0
2025-10-10 02:35:00+00:00,2025-10-10 02:42:00+00:00,VIX100,long,0.03755620280077087,1088.7488640000001,1084.981491,-0.14556300290526147,multi,,0.0,15.0
2025-10-10 02:42:00+00:00,2025-10-10 02:44:00+00:00,VIX100,short,0.05689184861580682,1084.981491,1082.138203,0.15560342618449607,multi,,0.0,15.0
2025-10-10 02:44:00+00:00,2025-10-10 03:47:00+00:00,VIX100,long,0.03785299532843175,1082.138203,1080.8119080000001,-0.05429543524956027,multi,,0.0,15.0
2025-10-10 03:47:00+00:00,2025-10-10 04:10:00+00:00,VIX100,short,0.03807394437419055,1080.8119080000001,1075.0074900000002,0.21690411051893832,multi,,0.0,15.0
2025-10-10 04:10:00+00:00,2025-10-10 05:37:00+00:00,VIX100,long,0.038216692730373036,1075.0074900000002,1057.19427,-0.6848026021358344,multi,,0.0,15.0
2025-10-10 05:37:00+00:00,2025-10-10 05:47:00+00:00,VIX100,short,0.03911328340797246,1057.19427,1053.0152910000002,0.15933490143197634,multi,,0.0,15.0
2025-10-10 05:47:00+00:00,2025-10-10 06:01:00+00:00,VIX100,long,0.038423247779396714,1053.0152910000002,1057.8242070000001,0.1807096668570431,multi,,0.0,15.0
2025-10-10 06:01:00+00:00,2025-10-10 06:13:00+00:00,VIX100,short,0.03843394496180779,1057.8242070000001,1052.2252119999998,0.21114734908290456,multi,,0.0,15.0
2025-10-10 06:13:00+00:00,2025-10-10 06:30:00+00:00,VIX100,long,0.03886578227043413,1052.2252119999998,1051.904799,-0.016541412183329253,multi,,0.0,15.0
