time,symbol,r,atr,risk_pct,lot_size,pnl,equity,tier
2025-10-21 08:10:00,XAUUSD,2.2153375714170638,0.0,5.0,0.05,11.076687857085318,111.07668785708532,AGGRESSIVE
2025-10-21 08:15:00,XAUUSD,-1.371436292392874,0.0,5.0,0.06,-7.6167300483000835,103.45995780878523,AGGRESSIVE
2025-10-21 08:35:00,Crash 500 Index,1.8692854039746254,0.0,5.0,0.05,9.669809451389641,113.12976726017487,AGGRESSIVE
2025-10-21 10:20:00,XAUUSD,-1.023511788459109,0.0,5.0,0.06,-5.789482520821218,107.34028473935365,AGGRESSIVE
2025-10-21 12:45:00,XAUUSD,0.6816990036706947,0.0,5.0,0.05,3.6586882580273032,110.99897299738095,AGGRESSIVE
2025-10-22 06:35:00,Volatility 75 Index,0.4178599140351525,0.0,5.0,0.06,2.319101065733791,113.31807406311474,AGGRESSIVE
2025-10-22 06:55:00,Volatility 75 Index,-0.6538847995458963,0.0,5.0,0.06,-3.7048483071843408,109.6132257559304,AGGRESSIVE
2025-10-22 10:35:00,Volatility 75 Index,1.1403630418439765,0.0,5.0,0.05,6.249943577468166,115.86316933339856,AGGRESSIVE
2025-10-22 11:00:00,Volatility 75 Index,1.3495874387252618,0.0,5.0,0.06,7.818373897162633,123.68154323056119,AGGRESSIVE
2025-10-23 05:50:00,Volatility 75 Index,1.1481926300942955,0.0,5.0,0.06,7.1005118208009685,130.78205505136216,AGGRESSIVE
2025-10-23 05:50:00,XAUUSD,2.089934640522919,0.0,5.0,0.07,13.666297360530862,144.44835241189304,AGGRESSIVE
2025-10-23 06:00:00,XAUUSD,2.915369024667489,0.0,5.0,0.07,21.056012614294318,165.50436502618737,AGGRESSIVE
2025-10-23 06:10:00,XAUUSD,1.0686572199731306,0.0,5.0,0.08,8.84337173111518,174.34773675730256,AGGRESSIVE
2025-10-23 06:10:00,Volatility 75 Index,-0.8743888263380887,0.0,5.0,0.09,-7.622385645895991,166.72535111140655,AGGRESSIVE
2025-10-24 09:20:00,Volatility 75 Index,1.6936674803898188,0.0,5.0,0.08,14.118865266698192,180.84421637810473,AGGRESSIVE
