time,entry_time,r,conf,entry_atr,risk_pct,risk_amt,pnl,equity
2025-01-04 17:10:00,2025-01-04 16:45:00,1.6227294197031101,0.9740046549857186,0.0,0.1,5.0,8.11364709851555,58.11364709851555
2025-01-10 12:15:00,2025-01-10 12:05:00,-1.5004973425621755,0.9746823946520535,0.0,0.1,5.8113647098515555,-8.719937303791866,49.393709794723684
2025-01-25 07:40:00,2025-01-25 07:35:00,-1.1066204433794227,0.9828004702385027,0.0,0.1,2.0,-2.2132408867588453,47.18046890796484
2025-01-27 21:30:00,2025-01-27 21:05:00,-1.300086467405382,0.9827744910807215,0.0,0.1,2.0,-2.600172934810764,44.58029597315407
2025-01-28 23:20:00,2025-01-28 23:15:00,0.9348781014772235,0.9789549887485302,0.0,0.1,2.0,1.869756202954447,46.45005217610852
2025-01-30 23:10:00,2025-01-30 22:35:00,-0.7217393642692511,0.9767051358504273,0.0,0.1,2.0,-1.4434787285385022,45.00657344757002
2025-02-01 16:25:00,2025-02-01 15:40:00,2.226189551180575,0.9818383786622095,0.0,0.1,2.0,4.45237910236115,49.45895254993117
2025-02-02 18:15:00,2025-02-02 18:05:00,-0.9171196355542014,0.9779506587650804,0.0,0.1,2.0,-1.8342392711084028,47.62471327882277
2025-02-04 17:00:00,2025-02-04 16:25:00,-0.28314848057985875,0.9787051543869063,0.0,0.1,2.0,-0.5662969611597175,47.05841631766305
2025-02-05 09:20:00,2025-02-05 08:20:00,-0.10667721002064891,0.9751128495210275,0.0,0.1,2.0,-0.21335442004129782,46.845061897621754
2025-02-09 00:10:00,2025-02-08 23:55:00,-0.20069461821170606,0.9831481848162075,0.0,0.1,2.0,-0.4013892364234121,46.44367266119834
2025-02-12 11:00:00,2025-02-12 10:30:00,0.8551125258278847,0.9732905738761605,0.0,0.1,2.0,1.7102250516557693,48.15389771285411
2025-02-14 15:10:00,2025-02-14 14:05:00,0.9897944969802177,0.9768813488978874,0.0,0.1,2.0,1.9795889939604354,50.133486706814544
2025-02-20 21:15:00,2025-02-20 21:00:00,-1.4867166403352123,0.9764269726670126,0.0,0.1,5.013348670681455,-7.453428892504536,42.68005781431001
