time,symbol,strategy,r,confidence,risk_pct,pnl,equity
2025-10-21 08:10:00,XAUUSD,VB_v1.3,2.2153375714170638,0.9736490917808144,0.05,11.076687857085318,111.07668785708532
2025-10-21 08:15:00,XAUUSD,VB_v1.3,-1.371436292392874,0.9766764606154873,0.05,-7.6167300483000835,103.45995780878523
2025-10-21 08:35:00,Crash 500 Index,VB_v1.3,1.8692854039746254,0.9700000504974192,0.05,9.669809451389641,113.12976726017487
2025-10-21 10:20:00,XAUUSD,VB_v1.3,-1.023511788459109,0.8860553787678305,0.05,-5.789482520821218,107.34028473935365
2025-10-21 12:45:00,XAUUSD,VB_v1.3,0.6816990036706947,0.9744581676122209,0.05,3.6586882580273032,110.99897299738095
2025-10-21 16:40:00,Volatility 75 Index,VB_v1.3,-1.3763934881367377,0.7339313099295501,0.05,-7.638913181173037,103.36005981620791
2025-10-21 19:30:00,XAUUSD,VB_v1.3,-1.0998215701824092,0.6995332186852821,0.05,-5.683881164060477,97.67617865214743
2025-10-21 23:15:00,Volatility 75 Index,VB_v1.3,0.056838647174998994,0.6970815670528602,0.1,0.5551781855811577,98.23135683772858
2025-10-22 06:35:00,Volatility 75 Index,VB_v1.3,0.4178599140351525,0.7031644148770366,0.1,4.104694632376966,102.33605147010555
2025-10-22 06:55:00,Volatility 75 Index,VB_v1.3,-0.6538847995458963,0.9159519723214683,0.05,-3.345799425092425,98.99025204501312
2025-10-22 10:35:00,Volatility 75 Index,VB_v1.3,1.1403630418439765,0.6899243500067028,0.1,11.28848249349531,110.27873453850843
2025-10-22 11:00:00,Volatility 75 Index,VB_v1.3,1.3495874387252618,0.8553402157656528,0.05,7.441539744584434,117.72027428309286
2025-10-23 05:50:00,Volatility 75 Index,VB_v1.3,1.1481926300942955,0.8475017851041453,0.05,6.758277567226313,124.47855185031918
2025-10-23 05:50:00,XAUUSD,VB_v1.3,2.089934640522919,0.6638092167989862,0.05,13.00760187570552,137.4861537260247
2025-10-23 06:00:00,XAUUSD,VB_v1.3,2.915369024667489,0.9720091158357427,0.05,20.041143694676254,157.52729742070096
2025-10-23 06:10:00,XAUUSD,VB_v1.3,1.0686572199731306,0.974873087320778,0.05,8.417134186574339,165.9444316072753
2025-10-23 06:10:00,Volatility 75 Index,VB_v1.3,-0.8743888263380887,0.9779654888616908,0.05,-7.254997839521335,158.68943376775397
2025-10-23 06:20:00,XAUUSD,VB_v1.3,-0.4351234095301642,0.9259337186664969,0.05,-3.4524743738718144,155.23695939388216
2025-10-23 09:00:00,Crash 500 Index,VB_v1.3,1.565490088357742,0.757352489727185,0.05,12.15109606389579,167.38805545777794
2025-10-23 09:25:00,Volatility 75 Index,VB_v1.3,-0.5569118804283595,0.6594957861354309,0.05,-4.6610198363118815,162.72703562146606
2025-10-23 10:10:00,Volatility 75 Index,VB_v1.3,1.2800813077180115,0.6648386393990846,0.05,10.415191827970087,173.14222744943615
2025-10-23 10:30:00,Volatility 75 Index,VB_v1.3,0.5763490946842011,0.8223041083298449,0.05,4.989518302104429,178.13174575154056
2025-10-23 10:35:00,XAUUSD,VB_v1.3,-0.9186467812604695,0.664182727803129,0.05,-8.182007743748054,169.94973800779252
2025-10-23 10:40:00,Volatility 75 Index,VB_v1.3,0.9940790195762516,0.9413809139486732,0.05,8.44717344680136,178.3969114545939
2025-10-23 11:00:00,XAUUSD,VB_v1.3,-1.6091511887753185,0.6367965947885972,0.05,-14.353380107050251,164.04353134754365
2025-10-24 09:20:00,Volatility 75 Index,VB_v1.3,1.6936674803898188,0.6209427370063443,0.05,13.891759720582128,177.93529106812576
2025-10-24 09:45:00,Volatility 75 Index,VB_v1.3,-1.075368382065128,0.962428661046175,0.05,-9.567299303410902,168.36799176471487
2025-10-24 11:05:00,XAUUSD,VB_v1.3,-2.0131300296484365,0.9737514503072564,0.05,-16.947333012657406,151.42065875205748
2025-10-24 16:55:00,Volatility 75 Index,VB_v1.3,0.5893444158675315,0.6782785737653783,0.05,4.461945984125407,155.88260473618288
2025-10-24 17:55:00,XAUUSD,VB_v1.3,0.7206349206349416,0.943094501338697,0.05,5.616722424621357,161.49932716080423
2025-10-24 21:00:00,Volatility 75 Index,VB_v1.3,0.49535298014060813,0.6703448840814649,0.05,3.999958649990372,165.4992858107946
2025-10-25 04:25:00,Volatility 75 Index,VB_v1.3,-0.42848700815574603,0.6644501782424115,0.05,-3.5457146914490045,161.95357111934558
2025-10-25 16:50:00,Volatility 75 Index,VB_v1.3,1.3085604645449056,0.6599580146575157,0.05,10.596302012931863,172.54987313227744
2025-10-25 17:10:00,Volatility 75 Index,VB_v1.3,-0.5334885546239758,0.9247237825909768,0.05,-4.602669120894454,167.94720401138298
2025-10-25 19:40:00,Volatility 75 Index,VB_v1.3,0.8051975544709957,0.6846071502458517,0.05,6.76153389751035,174.70873790889334
2025-10-26 07:25:00,Volatility 75 Index,VB_v1.3,-0.3777689164486006,0.858256911870449,0.05,-3.29997653069726,171.4087613781961
2025-10-26 07:45:00,Volatility 75 Index,VB_v1.3,0.8638212683493469,0.9289102609131582,0.05,7.403326682995195,178.81208806119128
2025-10-26 09:00:00,Volatility 75 Index,VB_v1.3,-0.5732007594817928,0.9829407187515208,0.05,-5.124761234060004,173.68732682713127
2025-10-26 10:25:00,Volatility 75 Index,VB_v1.3,-1.5829527842355922,0.7825603660756593,0.05,-13.746941879372235,159.94038494775904
2025-10-26 10:45:00,Volatility 75 Index,VB_v1.3,-1.370677934044451,0.7948729250706821,0.05,-10.961337820523429,148.97904712723562
2025-10-26 18:10:00,Volatility 75 Index,VB_v1.3,1.098845460515587,0.8169316093955125,0.05,8.185247482385028,157.16429460962064
2025-10-26 23:35:00,XAUUSD,VB_v1.3,0.9390027841052798,0.8939286430662294,0.05,7.378885510018811,164.54318011963946
2025-10-27 06:45:00,Volatility 75 Index,VB_v1.3,-1.6689012420141176,0.6191110470165044,0.05,-13.730315883330947,150.8128642363085
2025-10-27 07:55:00,XAUUSD,VB_v1.3,0.09493484285630918,0.7690034997146884,0.05,0.715869778349192,151.52873401465772
