time,symbol,r,risk_pct,risk_amount,pnl,equity,month
2025-01-01 02:50:00,Volatility 75 Index,-1.505892985820181,0.05,5.0,-7.5294649291009055,92.47053507089909,2025-01
2025-01-01 17:50:00,Volatility 75 Index,0.9911848958840226,0.1,9.247053507089909,9.165539767658897,101.63607483855799,2025-01
2025-01-02 03:30:00,Volatility 75 Index,1.1871733941731264,0.05,5.081803741927899,6.0329821968262385,107.66905703538423,2025-01
2025-01-02 12:05:00,Volatility 75 Index,-1.2400124211049004,0.05,5.383452851769212,-6.67554840462642,100.9935086307578,2025-01
2025-01-02 21:10:00,Volatility 75 Index,0.9305052881630601,0.05,5.0496754315378904,4.69874969255309,105.6922583233109,2025-01
2025-01-03 13:25:00,Volatility 75 Index,-1.0157237179735974,0.05,5.284612916165545,-5.367706679258962,100.32455164405194,2025-01
2025-01-03 16:35:00,Volatility 75 Index,-1.0189599831707865,0.05,5.016227582202597,-5.111335172741994,95.21321647130995,2025-01
2025-01-04 13:15:00,Volatility 75 Index,0.7755711962512442,0.1,9.521321647130994,7.384462819758252,102.5976792910682,2025-01
2025-01-04 17:05:00,Volatility 75 Index,1.3252294197031065,0.05,5.129883964553411,6.798273149489388,109.3959524405576,2025-01
2025-01-04 17:15:00,Volatility 75 Index,0.49171995835317467,0.05,5.46979762202788,2.689608658903843,112.08556109946143,2025-01
2025-01-05 02:50:00,Volatility 75 Index,0.8769771644136093,0.05,5.604278054973072,4.914823877235702,117.00038497669713,2025-01
2025-01-05 03:00:00,Volatility 75 Index,-0.9220705016131922,0.05,5.850019248834857,-5.394130183219986,111.60625479347715,2025-01
2025-01-07 05:50:00,Volatility 75 Index,0.733595191804762,0.05,5.580312739673857,4.0936905945916005,115.69994538806876,2025-01
2025-01-07 09:20:00,Volatility 75 Index,-0.17322950252783517,0.05,5.784997269403438,-1.0021321991036425,114.69781318896511,2025-01
2025-01-09 05:15:00,Volatility 75 Index,-0.7421557345607968,0.05,5.734890659448256,-4.256181989988672,110.44163119897644,2025-01
