datetime,open,high,low,close,volume
2025-10-06 22:00:00+00:00,1001.1,1013.14,989.23,1006.78,1777
2025-10-06 23:00:00+00:00,1006.83,1016.22,1000.38,1015.8,1763
2025-10-07 00:00:00+00:00,1015.99,1034.21,1014.09,1027.61,1772
2025-10-07 01:00:00+00:00,1027.94,1033.17,1022.74,1026.01,1770
2025-10-07 02:00:00+00:00,1026.21,1037.28,1017.41,1019.98,1779
2025-10-07 03:00:00+00:00,1020.2,1028.08,1015.71,1020.73,1771
2025-10-07 04:00:00+00:00,1021.1,1024.21,1000.19,1005.16,1774
2025-10-07 05:00:00+00:00,1005.12,1011.22,997.75,998.1,1772
2025-10-07 06:00:00+00:00,998.04,1001.58,975.1,975.33,1770
2025-10-07 07:00:00+00:00,975.6,980.55,964.83,964.98,1765
2025-10-07 08:00:00+00:00,964.86,974.55,962.25,966.75,1772
2025-10-07 09:00:00+00:00,967.06,971.5,954.3,959.32,1773
2025-10-07 10:00:00+00:00,959.21,967.92,952.88,960.8,1770
2025-10-07 11:00:00+00:00,960.65,972.61,959.77,972.44,1774
2025-10-07 12:00:00+00:00,972.63,979.8,955.6,959.16,1767
2025-10-07 13:00:00+00:00,959.38,966.55,955.31,960.44,1779
2025-10-07 14:00:00+00:00,960.67,977.28,957.59,976.05,1777
2025-10-07 15:00:00+00:00,976.37,988.63,973.75,977.66,1762
2025-10-07 16:00:00+00:00,977.65,978.4,953.14,957.91,1772
2025-10-07 17:00:00+00:00,957.85,966.69,954.66,963.01,1773
2025-10-07 18:00:00+00:00,962.79,975.47,956.55,974.64,1772
2025-10-07 19:00:00+00:00,974.96,979.54,968.79,968.8,1781
2025-10-07 20:00:00+00:00,968.73,971.49,953.96,967.7,1764
2025-10-07 21:00:00+00:00,967.93,992.47,967.34,989.21,1782
2025-10-07 22:00:00+00:00,989.22,993.75,981.87,990.68,1770
2025-10-07 23:00:00+00:00,990.91,1007.26,988.63,1000.37,1776
2025-10-08 00:00:00+00:00,1000.62,1025.11,999.85,1016.17,1765
2025-10-08 01:00:00+00:00,1016.19,1029.97,1014.75,1023.67,1772
2025-10-08 02:00:00+00:00,1023.3,1033.28,1013.37,1021.08,1769
2025-10-08 03:00:00+00:00,1021.15,1036.67,1021.15,1032.32,1772
2025-10-08 04:00:00+00:00,1032.77,1058.48,1032.02,1052.59,1777
2025-10-08 05:00:00+00:00,1052.68,1076.99,1048.44,1072.82,1771
2025-10-08 06:00:00+00:00,1072.71,1079.01,1059.24,1059.96,1769
2025-10-08 07:00:00+00:00,1060.37,1069.91,1051.37,1064.65,1779
2025-10-08 08:00:00+00:00,1064.86,1067.74,1050.15,1056.87,1774
2025-10-08 09:00:00+00:00,1056.87,1066.79,1053.0,1064.97,1778
2025-10-08 10:00:00+00:00,1064.8,1085.8,1060.79,1078.64,1781
2025-10-08 11:00:00+00:00,1078.73,1095.76,1075.17,1092.92,1770
2025-10-08 12:00:00+00:00,1093.2,1105.83,1089.07,1105.83,1774
2025-10-08 13:00:00+00:00,1105.95,1125.2,1104.94,1124.79,1774
2025-10-08 14:00:00+00:00,1124.94,1131.02,1113.46,1126.17,1778
2025-10-08 15:00:00+00:00,1126.68,1131.33,1121.08,1124.12,1776
2025-10-08 16:00:00+00:00,1124.38,1136.87,1113.59,1114.47,1783
2025-10-08 17:00:00+00:00,1114.28,1118.34,1094.68,1105.52,1781
2025-10-08 18:00:00+00:00,1105.74,1119.25,1102.17,1116.23,1785
2025-10-08 19:00:00+00:00,1116.23,1120.22,1104.27,1109.45,1776
2025-10-08 20:00:00+00:00,1109.04,1111.08,1093.29,1093.42,1777
2025-10-08 21:00:00+00:00,1093.52,1116.5,1093.34,1114.22,1775
2025-10-08 22:00:00+00:00,1113.71,1136.84,1113.51,1136.84,1773
2025-10-08 23:00:00+00:00,1137.13,1137.41,1113.63,1124.25,1768
2025-10-09 00:00:00+00:00,1124.57,1133.92,1116.92,1121.54,1778
2025-10-09 01:00:00+00:00,1121.27,1126.44,1114.13,1121.8,1781
2025-10-09 02:00:00+00:00,1121.99,1121.99,1105.55,1111.46,1784
2025-10-09 03:00:00+00:00,1111.09,1128.21,1108.65,1127.35,1778
2025-10-09 04:00:00+00:00,1127.71,1128.95,1107.21,1114.81,1768
2025-10-09 05:00:00+00:00,1115.16,1124.58,1109.73,1119.2,1767
2025-10-09 06:00:00+00:00,1118.75,1129.0,1102.43,1104.83,1777
2025-10-09 07:00:00+00:00,1105.18,1110.43,1094.16,1106.72,1772
2025-10-09 08:00:00+00:00,1106.9,1117.05,1098.49,1115.48,1775
2025-10-09 09:00:00+00:00,1115.68,1128.49,1113.27,1123.42,1774
2025-10-09 10:00:00+00:00,1123.34,1138.91,1118.43,1136.85,1768
2025-10-09 11:00:00+00:00,1136.32,1144.77,1129.59,1132.35,1782
2025-10-09 12:00:00+00:00,1131.76,1144.68,1130.41,1133.98,1780
2025-10-09 13:00:00+00:00,1133.66,1136.92,1117.54,1119.13,1779
2025-10-09 14:00:00+00:00,1119.48,1131.31,1112.91,1130.32,1780
2025-10-09 15:00:00+00:00,1129.98,1131.04,1114.76,1120.45,1770
2025-10-09 16:00:00+00:00,1120.8,1128.16,1105.95,1110.48,1773
2025-10-09 17:00:00+00:00,1110.16,1110.42,1092.3,1093.11,1776
2025-10-09 18:00:00+00:00,1092.96,1103.75,1090.53,1096.27,1770
2025-10-09 19:00:00+00:00,1096.72,1098.2,1080.32,1085.83,1771
2025-10-09 20:00:00+00:00,1085.95,1091.48,1069.88,1075.36,1785
2025-10-09 21:00:00+00:00,1075.66,1078.04,1063.94,1067.93,1777
2025-10-09 22:00:00+00:00,1067.59,1085.61,1064.3,1080.24,1778
2025-10-09 23:00:00+00:00,1080.41,1093.49,1080.29,1088.09,1778
2025-10-10 00:00:00+00:00,1088.33,1106.04,1083.68,1105.54,1768
2025-10-10 01:00:00+00:00,1105.63,1105.63,1089.05,1089.19,1776
2025-10-10 02:00:00+00:00,1088.74,1095.83,1078.9,1079.37,1779
2025-10-10 03:00:00+00:00,1079.39,1085.49,1070.89,1084.87,1775
2025-10-10 04:00:00+00:00,1084.37,1087.3,1059.29,1063.27,1768
2025-10-10 05:00:00+00:00,1062.93,1064.81,1051.15,1056.97,1774
2025-10-10 06:00:00+00:00,1056.63,1058.61,1044.84,1050.39,1769
2025-10-10 07:00:00+00:00,1050.59,1063.09,1049.25,1057.28,1779
2025-10-10 08:00:00+00:00,1057.33,1070.2,1049.03,1055.13,1773
2025-10-10 09:00:00+00:00,1055.16,1078.91,1052.05,1078.77,1775
2025-10-10 10:00:00+00:00,1078.39,1085.05,1076.82,1079.16,1776
2025-10-10 11:00:00+00:00,1079.44,1091.92,1066.39,1066.6,1783
2025-10-10 12:00:00+00:00,1065.93,1083.21,1065.93,1076.61,1782
2025-10-10 13:00:00+00:00,1077.12,1083.75,1073.12,1073.59,1773
2025-10-10 14:00:00+00:00,1073.68,1075.44,1063.64,1072.53,1779
2025-10-10 15:00:00+00:00,1072.37,1076.92,1066.75,1076.14,1776
2025-10-10 16:00:00+00:00,1075.48,1084.84,1069.48,1072.46,1771
2025-10-10 17:00:00+00:00,1072.7,1085.01,1067.51,1070.21,1771
2025-10-10 18:00:00+00:00,1069.98,1076.28,1060.33,1072.34,1773
2025-10-10 19:00:00+00:00,1072.23,1077.29,1066.57,1071.74,1767
2025-10-10 20:00:00+00:00,1071.26,1083.39,1064.04,1082.33,1780
2025-10-10 21:00:00+00:00,1082.31,1086.51,1072.11,1076.8,1768
2025-10-10 22:00:00+00:00,1076.84,1083.27,1067.26,1080.15,1777
2025-10-10 23:00:00+00:00,1079.87,1095.51,1068.31,1093.5,1774
2025-10-11 00:00:00+00:00,1093.69,1095.33,1079.74,1084.74,1771
2025-10-11 01:00:00+00:00,1084.61,1099.48,1081.0,1092.3,1776
2025-10-11 02:00:00+00:00,1092.04,1092.04,1064.25,1064.85,1767
2025-10-11 03:00:00+00:00,1064.64,1077.26,1063.65,1074.6,1770
2025-10-11 04:00:00+00:00,1074.31,1078.15,1064.72,1069.85,1774
2025-10-11 05:00:00+00:00,1069.39,1071.41,1063.05,1065.17,1772
2025-10-11 06:00:00+00:00,1065.06,1068.54,1053.31,1053.31,1775
2025-10-11 07:00:00+00:00,1053.24,1060.92,1046.04,1057.84,1765
2025-10-11 08:00:00+00:00,1057.69,1072.99,1055.99,1068.88,1776
2025-10-11 09:00:00+00:00,1069.01,1082.0,1065.92,1080.05,1776
2025-10-11 10:00:00+00:00,1079.67,1094.57,1074.04,1074.86,1771
2025-10-11 11:00:00+00:00,1075.01,1077.94,1063.09,1070.91,1769
2025-10-11 12:00:00+00:00,1070.94,1070.94,1053.9,1061.09,1772
2025-10-11 13:00:00+00:00,1060.96,1065.55,1052.42,1057.65,1770
2025-10-11 14:00:00+00:00,1057.8,1069.86,1053.9,1064.42,1774
2025-10-11 15:00:00+00:00,1064.78,1066.09,1048.36,1049.53,1785
2025-10-11 16:00:00+00:00,1049.75,1058.18,1044.43,1053.19,1769
2025-10-11 17:00:00+00:00,1052.83,1056.59,1037.21,1050.03,1775
2025-10-11 18:00:00+00:00,1049.88,1053.1,1039.15,1049.37,1773
2025-10-11 19:00:00+00:00,1049.6,1059.72,1046.61,1049.75,1772
2025-10-11 20:00:00+00:00,1049.44,1060.1,1045.77,1056.94,1774
2025-10-11 21:00:00+00:00,1057.12,1063.93,1047.94,1051.53,1776
2025-10-11 22:00:00+00:00,1051.95,1053.95,1041.67,1043.57,1770
2025-10-11 23:00:00+00:00,1043.5,1051.13,1030.89,1036.39,1775
2025-10-12 00:00:00+00:00,1036.3,1038.23,1024.91,1027.68,1777
2025-10-12 01:00:00+00:00,1028.22,1052.08,1025.75,1051.73,1777
2025-10-12 02:00:00+00:00,1051.49,1072.72,1051.03,1065.05,1781
2025-10-12 03:00:00+00:00,1065.06,1077.1,1058.49,1058.65,1769
2025-10-12 04:00:00+00:00,1058.57,1068.04,1049.1,1049.56,1772
2025-10-12 05:00:00+00:00,1049.44,1052.52,1034.42,1052.15,1764
2025-10-12 06:00:00+00:00,1052.2,1057.43,1042.53,1049.98,1776
2025-10-12 07:00:00+00:00,1049.97,1060.53,1043.14,1055.68,1769
2025-10-12 08:00:00+00:00,1055.91,1064.53,1051.5,1054.52,1780
2025-10-12 09:00:00+00:00,1054.34,1068.66,1053.72,1058.8,1778
2025-10-12 10:00:00+00:00,1059.09,1079.11,1047.22,1077.1,1776
2025-10-12 11:00:00+00:00,1077.35,1077.48,1059.67,1062.03,1767
2025-10-12 12:00:00+00:00,1062.31,1071.26,1058.15,1064.59,1774
2025-10-12 13:00:00+00:00,1064.54,1065.02,1049.81,1060.14,1773
2025-10-12 14:00:00+00:00,1059.93,1070.36,1055.6,1057.98,1779
2025-10-12 15:00:00+00:00,1057.26,1068.84,1052.17,1066.58,1771
2025-10-12 16:00:00+00:00,1066.23,1078.01,1061.89,1070.74,1777
2025-10-12 17:00:00+00:00,1071.05,1085.9,1066.35,1076.14,1775
2025-10-12 18:00:00+00:00,1076.35,1083.97,1072.23,1075.09,1775
2025-10-12 19:00:00+00:00,1075.07,1099.4,1071.58,1092.73,1781
2025-10-12 20:00:00+00:00,1092.81,1104.21,1090.31,1099.16,1781
2025-10-12 21:00:00+00:00,1099.42,1104.11,1076.01,1076.96,1771
2025-10-12 22:00:00+00:00,1076.98,1095.78,1069.21,1091.4,1774
2025-10-12 23:00:00+00:00,1091.1,1093.38,1077.26,1079.21,1772
2025-10-13 00:00:00+00:00,1079.0,1111.72,1078.15,1107.14,1771
2025-10-13 01:00:00+00:00,1107.43,1122.02,1104.01,1118.0,1773
2025-10-13 02:00:00+00:00,1117.88,1131.27,1112.37,1118.71,1771
2025-10-13 03:00:00+00:00,1118.82,1138.64,1117.22,1136.11,1770
2025-10-13 04:00:00+00:00,1135.82,1139.99,1118.58,1121.34,1779
2025-10-13 05:00:00+00:00,1121.84,1125.59,1102.05,1113.63,1774
2025-10-13 06:00:00+00:00,1113.43,1122.35,1108.03,1111.93,1780
2025-10-13 07:00:00+00:00,1111.99,1129.01,1101.88,1127.6,1766
2025-10-13 08:00:00+00:00,1128.16,1128.57,1113.95,1115.95,1777
2025-10-13 09:00:00+00:00,1115.47,1119.07,1088.66,1089.17,1781
2025-10-13 10:00:00+00:00,1088.82,1093.46,1075.56,1077.45,1769
2025-10-13 11:00:00+00:00,1076.89,1081.0,1070.12,1078.35,1776
2025-10-13 12:00:00+00:00,1078.3,1083.0,1073.02,1080.6,1779
2025-10-13 13:00:00+00:00,1081.16,1085.27,1067.86,1083.26,1774
2025-10-13 14:00:00+00:00,1083.05,1097.24,1072.43,1078.15,1773
2025-10-13 15:00:00+00:00,1078.68,1082.06,1064.71,1068.65,1776
2025-10-13 16:00:00+00:00,1068.41,1084.31,1063.34,1081.97,1787
2025-10-13 17:00:00+00:00,1081.92,1082.18,1070.97,1076.41,1771
2025-10-13 18:00:00+00:00,1076.05,1083.56,1066.49,1067.73,1779
2025-10-13 19:00:00+00:00,1067.76,1090.69,1062.1,1084.74,1768
2025-10-13 20:00:00+00:00,1085.03,1093.32,1080.1,1083.7,1776
2025-10-13 21:00:00+00:00,1083.53,1088.46,1081.07,1082.26,1775
2025-10-13 22:00:00+00:00,1082.3,1085.85,1076.46,1080.39,1783
