datetime,open,high,low,close,volume
2025-10-06 22:00:00+00:00,1001.1,1001.1,994.06,996.71,149
2025-10-06 22:05:00+00:00,996.87,997.4,994.82,995.82,149
2025-10-06 22:10:00+00:00,995.62,997.38,991.84,993.9,147
2025-10-06 22:15:00+00:00,993.79,995.0,989.81,989.81,146
2025-10-06 22:20:00+00:00,989.75,997.9,989.23,997.29,146
2025-10-06 22:25:00+00:00,996.97,997.23,994.92,997.23,147
2025-10-06 22:30:00+00:00,997.29,1002.49,996.89,1001.74,150
2025-10-06 22:35:00+00:00,1001.91,1007.24,1000.34,1006.49,149
2025-10-06 22:40:00+00:00,1005.87,1011.54,1004.98,1010.96,150
2025-10-06 22:45:00+00:00,1010.86,1013.14,1009.32,1009.74,147
2025-10-06 22:50:00+00:00,1010.04,1012.32,1007.67,1008.44,149
2025-10-06 22:55:00+00:00,1008.43,1009.27,1006.33,1006.78,148
2025-10-06 23:00:00+00:00,1006.83,1008.03,1005.84,1007.3,147
2025-10-06 23:05:00+00:00,1006.98,1006.98,1001.41,1002.9,143
2025-10-06 23:10:00+00:00,1003.23,1007.76,1003.23,1005.51,147
2025-10-06 23:15:00+00:00,1005.18,1009.09,1004.7,1006.97,145
2025-10-06 23:20:00+00:00,1006.67,1006.93,1000.6,1001.58,148
2025-10-06 23:25:00+00:00,1001.49,1004.65,1001.49,1004.18,144
2025-10-06 23:30:00+00:00,1003.86,1006.48,1000.38,1006.48,147
2025-10-06 23:35:00+00:00,1006.86,1008.57,1005.32,1006.35,149
2025-10-06 23:40:00+00:00,1006.65,1011.68,1005.1,1009.67,149
2025-10-06 23:45:00+00:00,1009.81,1011.37,1008.36,1009.58,148
2025-10-06 23:50:00+00:00,1009.19,1014.39,1009.19,1013.44,147
2025-10-06 23:55:00+00:00,1013.52,1016.22,1012.43,1015.8,149
2025-10-07 00:00:00+00:00,1015.99,1019.66,1015.77,1018.09,149
2025-10-07 00:05:00+00:00,1018.32,1019.9,1014.09,1016.26,145
2025-10-07 00:10:00+00:00,1016.56,1020.79,1015.19,1020.0,150
2025-10-07 00:15:00+00:00,1019.53,1020.59,1015.41,1016.22,150
2025-10-07 00:20:00+00:00,1016.5,1018.23,1014.17,1018.05,145
2025-10-07 00:25:00+00:00,1017.92,1019.25,1015.28,1018.09,147
2025-10-07 00:30:00+00:00,1018.4,1021.58,1017.32,1021.58,144
2025-10-07 00:35:00+00:00,1022.29,1026.32,1021.65,1025.58,148
2025-10-07 00:40:00+00:00,1025.59,1034.21,1025.59,1032.04,148
2025-10-07 00:45:00+00:00,1032.2,1033.19,1027.58,1028.21,148
2025-10-07 00:50:00+00:00,1028.18,1031.54,1027.8,1029.35,149
2025-10-07 00:55:00+00:00,1029.36,1029.93,1024.77,1027.61,149
2025-10-07 01:00:00+00:00,1027.94,1032.32,1027.45,1029.67,149
2025-10-07 01:05:00+00:00,1029.64,1031.27,1027.65,1031.06,147
2025-10-07 01:10:00+00:00,1031.19,1032.19,1029.56,1029.56,147
2025-10-07 01:15:00+00:00,1029.9,1029.9,1025.92,1027.68,146
2025-10-07 01:20:00+00:00,1027.97,1031.94,1027.14,1027.62,147
