datetime,open,high,low,close,volume
2025-10-07 00:00:00+00:00,1015.99,1037.28,1014.09,1020.73,7092
2025-10-07 04:00:00+00:00,1021.1,1024.21,964.83,964.98,7081
2025-10-07 08:00:00+00:00,964.86,974.55,952.88,972.44,7089
2025-10-07 12:00:00+00:00,972.63,988.63,955.31,977.66,7085
2025-10-07 16:00:00+00:00,977.65,979.54,953.14,968.8,7098
2025-10-07 20:00:00+00:00,968.73,1007.26,953.96,1000.37,7092
2025-10-08 00:00:00+00:00,1000.62,1036.67,999.85,1032.32,7078
2025-10-08 04:00:00+00:00,1032.77,1079.01,1032.02,1064.65,7096
2025-10-08 08:00:00+00:00,1064.86,1095.76,1050.15,1092.92,7103
2025-10-08 12:00:00+00:00,1093.2,1131.33,1089.07,1124.12,7102
2025-10-08 16:00:00+00:00,1124.38,1136.87,1094.68,1109.45,7125
2025-10-08 20:00:00+00:00,1109.04,1137.41,1093.29,1124.25,7093
2025-10-09 00:00:00+00:00,1124.57,1133.92,1105.55,1127.35,7121
2025-10-09 04:00:00+00:00,1127.71,1129.0,1094.16,1106.72,7084
2025-10-09 08:00:00+00:00,1106.9,1144.77,1098.49,1132.35,7099
2025-10-09 12:00:00+00:00,1131.76,1144.68,1112.91,1120.45,7109
2025-10-09 16:00:00+00:00,1120.8,1128.16,1080.32,1085.83,7090
2025-10-09 20:00:00+00:00,1085.95,1093.49,1063.94,1088.09,7118
2025-10-10 00:00:00+00:00,1088.33,1106.04,1070.89,1084.87,7098
2025-10-10 04:00:00+00:00,1084.37,1087.3,1044.84,1057.28,7090
2025-10-10 08:00:00+00:00,1057.33,1091.92,1049.03,1066.6,7107
2025-10-10 12:00:00+00:00,1065.93,1083.75,1063.64,1076.14,7110
2025-10-10 16:00:00+00:00,1075.48,1085.01,1060.33,1071.74,7082
2025-10-10 20:00:00+00:00,1071.26,1095.51,1064.04,1093.5,7099
2025-10-11 00:00:00+00:00,1093.69,1099.48,1063.65,1074.6,7084
2025-10-11 04:00:00+00:00,1074.31,1078.15,1046.04,1057.84,7086
2025-10-11 08:00:00+00:00,1057.69,1094.57,1055.99,1070.91,7092
2025-10-11 12:00:00+00:00,1070.94,1070.94,1048.36,1049.53,7101
2025-10-11 16:00:00+00:00,1049.75,1059.72,1037.21,1049.75,7089
2025-10-11 20:00:00+00:00,1049.44,1063.93,1030.89,1036.39,7095
2025-10-12 00:00:00+00:00,1036.3,1077.1,1024.91,1058.65,7104
2025-10-12 04:00:00+00:00,1058.57,1068.04,1034.42,1055.68,7081
2025-10-12 08:00:00+00:00,1055.91,1079.11,1047.22,1062.03,7101
2025-10-12 12:00:00+00:00,1062.31,1071.26,1049.81,1066.58,7097
2025-10-12 16:00:00+00:00,1066.23,1099.4,1061.89,1092.73,7108
2025-10-12 20:00:00+00:00,1092.81,1104.21,1069.21,1079.21,7098
2025-10-13 00:00:00+00:00,1079.0,1138.64,1078.15,1136.11,7085
2025-10-13 04:00:00+00:00,1135.82,1139.99,1101.88,1127.6,7099
2025-10-13 08:00:00+00:00,1128.16,1128.57,1070.12,1078.35,7103
2025-10-13 12:00:00+00:00,1078.3,1097.24,1064.71,1068.65,7102
2025-10-13 16:00:00+00:00,1068.41,1090.69,1062.1,1084.74,7105
2025-10-13 20:00:00+00:00,1085.03,1100.54,1076.46,1094.61,7099
