datetime,open,high,low,close,volume,volume
2025-07-18 22:00:00+00:00,1073.07,1074.1,1067.96,1067.96,446,0
2025-07-18 22:15:00+00:00,1067.84,1073.19,1065.83,1068.09,446,0
2025-07-18 22:30:00+00:00,1068.5,1073.07,1063.22,1065.89,447,0
2025-07-18 22:45:00+00:00,1066.63,1072.62,1063.34,1072.39,447,0
2025-07-18 23:00:00+00:00,1073.18,1082.63,1073.18,1079.92,441,0
2025-07-18 23:15:00+00:00,1079.79,1080.97,1072.52,1075.11,440,0
2025-07-18 23:30:00+00:00,1074.97,1079.41,1073.43,1075.61,444,0
2025-07-18 23:45:00+00:00,1075.43,1076.42,1066.57,1071.73,445,0
2025-07-19 00:00:00+00:00,1071.97,1077.24,1071.04,1075.97,443,0
2025-07-19 00:15:00+00:00,1075.86,1078.23,1066.26,1066.65,443,0
2025-07-19 00:30:00+00:00,1066.8,1074.09,1065.21,1070.76,443,0
2025-07-19 00:45:00+00:00,1071.05,1073.32,1064.51,1072.55,447,0
2025-07-19 01:00:00+00:00,1072.25,1076.52,1067.82,1068.57,442,0
2025-07-19 01:15:00+00:00,1068.5,1076.34,1068.01,1068.03,442,0
2025-07-19 01:30:00+00:00,1067.85,1076.25,1066.9,1073.7,439,0
2025-07-19 01:45:00+00:00,1073.24,1074.86,1070.84,1071.43,444,0
2025-07-19 02:00:00+00:00,1072.03,1076.76,1069.36,1071.08,446,0
2025-07-19 02:15:00+00:00,1071.15,1072.96,1065.43,1072.33,440,0
2025-07-19 02:30:00+00:00,1072.71,1082.11,1071.65,1081.91,441,0
2025-07-19 02:45:00+00:00,1082.13,1082.3,1077.17,1078.45,443,0
2025-07-19 03:00:00+00:00,1078.64,1081.71,1075.33,1079.92,444,0
2025-07-19 03:15:00+00:00,1079.97,1090.43,1078.46,1085.12,446,0
2025-07-19 03:30:00+00:00,1085.94,1094.63,1085.23,1091.17,441,0
2025-07-19 03:45:00+00:00,1090.89,1093.31,1087.66,1088.44,443,0
2025-07-19 04:00:00+00:00,1088.22,1100.68,1087.81,1098.71,446,0
2025-07-19 04:15:00+00:00,1098.96,1102.38,1093.69,1096.98,443,0
2025-07-19 04:30:00+00:00,1097.01,1097.28,1085.96,1088.43,447,0
2025-07-19 04:45:00+00:00,1088.72,1100.04,1085.14,1095.44,446,0
2025-07-19 05:00:00+00:00,1095.64,1104.49,1094.14,1102.68,446,0
2025-07-19 05:15:00+00:00,1102.78,1107.62,1097.95,1104.28,446,0
2025-07-19 05:30:00+00:00,1104.21,1110.95,1100.38,1101.47,443,0
2025-07-19 05:45:00+00:00,1101.24,1108.47,1099.48,1107.73,443,0
2025-07-19 06:00:00+00:00,1108.08,1118.69,1107.56,1112.59,440,0
2025-07-19 06:15:00+00:00,1112.99,1115.15,1108.54,1113.0,441,0
2025-07-19 06:30:00+00:00,1112.7,1118.41,1111.86,1116.64,442,0
2025-07-19 06:45:00+00:00,1116.71,1117.37,1100.4,1103.12,443,0
2025-07-19 07:00:00+00:00,1103.15,1111.68,1101.58,1107.46,443,0
2025-07-19 07:15:00+00:00,1107.18,1115.87,1104.77,1114.3,442,0
2025-07-19 07:30:00+00:00,1114.57,1115.08,1098.21,1102.74,445,0
2025-07-19 07:45:00+00:00,1103.1,1104.7,1098.53,1103.09,440,0
2025-07-19 08:00:00+00:00,1102.9,1107.24,1097.88,1106.5,442,0
2025-07-19 08:15:00+00:00,1106.26,1111.69,1101.46,1107.64,444,0
2025-07-19 08:30:00+00:00,1107.97,1115.16,1107.97,1113.59,441,0
2025-07-19 08:45:00+00:00,1113.68,1114.06,1106.38,1111.98,442,0
2025-07-19 09:00:00+00:00,1112.16,1121.35,1109.85,1119.42,445,0
2025-07-19 09:15:00+00:00,1119.23,1131.22,1119.15,1130.54,444,0
2025-07-19 09:30:00+00:00,1130.3,1141.79,1127.61,1140.66,439,0
2025-07-19 09:45:00+00:00,1140.52,1152.83,1139.54,1150.34,447,0
2025-07-19 10:00:00+00:00,1150.08,1153.15,1141.46,1141.89,442,0
2025-07-19 10:15:00+00:00,1142.02,1151.74,1141.47,1146.46,443,0
2025-07-19 10:30:00+00:00,1146.26,1148.73,1136.04,1137.73,442,0
2025-07-19 10:45:00+00:00,1138.08,1141.91,1133.03,1133.97,444,0
2025-07-19 11:00:00+00:00,1133.54,1135.14,1125.6,1126.9,445,0
2025-07-19 11:15:00+00:00,1126.9,1129.44,1118.14,1127.27,443,0
2025-07-19 11:30:00+00:00,1127.35,1129.02,1113.53,1115.04,446,0
2025-07-19 11:45:00+00:00,1114.83,1116.02,1106.33,1110.2,449,0
2025-07-19 12:00:00+00:00,1110.07,1112.58,1104.17,1111.92,443,0
2025-07-19 12:15:00+00:00,1112.22,1114.15,1106.68,1106.68,444,0
2025-07-19 12:30:00+00:00,1107.23,1109.78,1102.2,1105.35,443,0
2025-07-19 12:45:00+00:00,1105.45,1105.59,1095.84,1096.71,444,0
2025-07-19 13:00:00+00:00,1096.44,1097.73,1092.53,1095.94,446,0
2025-07-19 13:15:00+00:00,1096.33,1101.25,1095.75,1099.36,446,0
2025-07-19 13:30:00+00:00,1099.14,1107.27,1099.09,1106.51,443,0
2025-07-19 13:45:00+00:00,1106.03,1107.82,1101.58,1104.7,444,0
2025-07-19 14:00:00+00:00,1104.61,1107.51,1101.52,1105.18,444,0
2025-07-19 14:15:00+00:00,1105.48,1109.48,1100.37,1107.35,444,0
2025-07-19 14:30:00+00:00,1107.44,1111.45,1100.56,1103.49,441,0
2025-07-19 14:45:00+00:00,1103.38,1120.43,1099.06,1119.73,442,0
2025-07-19 15:00:00+00:00,1119.47,1125.02,1118.4,1122.36,445,0
2025-07-19 15:15:00+00:00,1121.85,1130.12,1121.16,1126.85,444,0
2025-07-19 15:30:00+00:00,1126.88,1130.17,1123.34,1129.46,444,0
2025-07-19 15:45:00+00:00,1129.22,1131.27,1124.56,1127.52,447,0
2025-07-19 16:00:00+00:00,1127.27,1127.27,1120.53,1122.37,445,0
2025-07-19 16:15:00+00:00,1122.61,1126.26,1120.45,1124.9,443,0
2025-07-19 16:30:00+00:00,1124.49,1132.08,1122.91,1128.98,443,0
2025-07-19 16:45:00+00:00,1129.03,1130.7,1117.7,1119.55,440,0
2025-07-19 17:00:00+00:00,1119.18,1122.23,1112.61,1113.84,438,0
2025-07-19 17:15:00+00:00,1113.47,1118.86,1112.47,1118.3,446,0
